FID IID PC1
QBC-246 QBC-246 -0.0450442
QBC-284 QBC-284 -0.0133063
QBC-289 QBC-289 -0.013309
QPRC-048 QPRC-048 -0.072564
QBC-272 QBC-272 -0.0441315
QBC-167 QBC-167 0.000440492
QBC-105 QBC-105 -0.0441403
QBC-141 QBC-141 -0.0681714
QBC-261 QBC-261 -0.036719
QBC-299 QBC-299 -0.0418288
QBC-192 QBC-192 0.0444766
QBC-001 QBC-001 -0.0089597
QBC-287 QBC-287 -0.0387132
QBC-036 QBC-036 -0.0389362
QBC-254 QBC-254 -0.0103549
QBC-053 QBC-053 0.016326
QPRC-009 QPRC-009 -0.0766554
QBC-257 QBC-257 -0.043581
QBC-212 QBC-212 0.0135473
QBC-165 QBC-165 0.0647911
QPRC-007 QPRC-007 -0.0384043
QBC-054_r1 QBC-054_r1 0.0271246
QBC-258 QBC-258 -0.0204982
QPRC-120 QPRC-120 -0.0707709
QBC-222 QBC-222 -0.0592443
QBC-233 QBC-233 -0.00308894
QBC-043 QBC-043 0.281806
QBC-024 QBC-024 -0.0195207
QPRC-111 QPRC-111 -0.0344374
QBC-020 QBC-020 -0.0267197
QBC-244 QBC-244 0.186354
QBC-206 QBC-206 -0.0298376
QBC-216 QBC-216 0.00406693
QPRC-013 QPRC-013 -0.0731581
QBC-014 QBC-014 0.0370699
QBC-285 QBC-285 -0.0441548
QIGR-009 QIGR-009 -0.0405152
QBC-126 QBC-126 -0.0788493
QBC-016 QBC-016 -0.0333734
QPRC-004 QPRC-004 0.011019
QBC-077 QBC-077 -0.0186497
QBC-228 QBC-228 0.00755452
QBC-201 QBC-201 -0.0745654
QBC-276 QBC-276 -0.0403224
QPRC-042 QPRC-042 -0.0791082
QBC-159 QBC-159 0.064344
QBC-044 QBC-044 0.0320025
QPRC-105 QPRC-105 -0.0152513
QBC-296 QBC-296 -0.0035
QBC-209 QBC-209 -0.0396022
QBC-250 QBC-250 0.243567
QBC-235 QBC-235 -0.0588306
QBC-265 QBC-265 0.269216
QBC-113 QBC-113 0.0320409
QBC-019 QBC-019 0.143153
QBC-277 QBC-277 -0.0467794
QPRC-095 QPRC-095 -0.0183132
QBC-068 QBC-068 0.0506465
QIGR-042 QIGR-042 -0.0511042
QBC-288 QBC-288 -0.0196597
QBC-211 QBC-211 -0.0707578
QBC-104 QBC-104 0.0590738
QPRC-098 QPRC-098 -0.00898068
QBC-278 QBC-278 0.0132666
QBC-197 QBC-197 0.0652554
