FID IID PC1
QBC-092 QBC-092 0.0218693
QBC-256 QBC-256 -0.0402523
QBC-107 QBC-107 -0.0374178
QBC-171 QBC-171 -0.0187082
QPRC-110 QPRC-110 -0.0231858
QBC-240 QBC-240 0.0511721
QPRC-019 QPRC-019 -0.0778123
QBC-183 QBC-183 -0.0528144
QBC-086 QBC-086 -0.0135663
QPRC-039 QPRC-039 0.0323927
QBC-232 QBC-232 -0.0348391
QPRC-104 QPRC-104 -0.0188618
QBC-119 QBC-119 0.169021
QBC-269 QBC-269 -0.0681829
QBC-247 QBC-247 0.123042
QBC-031 QBC-031 -0.0258661
QBC-268 QBC-268 0.284872
QBC-173 QBC-173 -0.0471767
QBC-210 QBC-210 0.251978
QPRC-108 QPRC-108 -0.0185126
QPRC-115 QPRC-115 -0.0543294
QIGR-005 QIGR-005 -0.0369662
QBC-264 QBC-264 -0.0484352
QBC-286 QBC-286 -0.067685
QPRC-012 QPRC-012 -0.0165503
QPRC-106 QPRC-106 0.0146814
QBC-205 QBC-205 -0.0181799
QBC-046 QBC-046 -0.0403131
QBC-018 QBC-018 0.144295
QBC-170 QBC-170 0.0419667
QBC-174 QBC-174 -0.0472439
QBC-035 QBC-035 -0.0571021
QBC-064 QBC-064 -0.00486583
QBC-179 QBC-179 0.180079
QBC-280 QBC-280 -0.0675316
QBC-166 QBC-166 0.00785065
QBC-267 QBC-267 -0.0518107
QBC-015 QBC-015 -0.0178793
QPRC-101 QPRC-101 -0.0370865
QBC-242 QBC-242 0.021972
QBC-241 QBC-241 0.0247332
QBC-038 QBC-038 0.0680548
QBC-008 QBC-008 -0.00559612
QBC-229 QBC-229 -0.0390822
QPRC-047 QPRC-047 -0.0175177
QBC-080 QBC-080 -0.0476726
QPRC-008 QPRC-008 -0.0186749
QBC-260 QBC-260 -0.0348246
QBC-298 QBC-298 -0.0605195
QBC-095 QBC-095 -0.0490851
QPRC-064 QPRC-064 -0.0686028
QBC-003 QBC-003 0.118043
QBC-294 QBC-294 -0.0213669
QBC-270 QBC-270 0.103126
QBC-058 QBC-058 0.0472099
QBC-207 QBC-207 -0.0328444
QPRC-005 QPRC-005 -0.0690118
QBC-243 QBC-243 0.00799416
QBC-049 QBC-049 -0.0506481
QIGR-026 QIGR-026 -0.00697465
QBC-239 QBC-239 -0.018168
QBC-200 QBC-200 -0.0566517
QBC-051 QBC-051 -0.0688333
QBC-178 QBC-178 -0.0245573
QBC-017 QBC-017 0.157702
QBC-139 QBC-139 -0.0295668
QBC-062 QBC-062 -0.0329408
QPRC-059 QPRC-059 -0.0725057
QBC-252 QBC-252 -0.0401252
QPRC-025 QPRC-025 -0.0174112
QBC-078 QBC-078 -0.019668
QBC-262 QBC-262 -0.0486737
QBC-204 QBC-204 -0.0424735
QPRC-010 QPRC-010 0.244866
QPRC-021 QPRC-021 0.0249837
QPRC-096 QPRC-096 -0.0740172
QPRC-116 QPRC-116 0.202541
QBC-251 QBC-251 -0.0111105
QBC-213 QBC-213 -0.0502874
QBC-303 QBC-303 -0.0587172
QBC-002 QBC-002 0.000905707
QBC-263 QBC-263 -0.0431783
QPRC-060 QPRC-060 -0.0520193
QBC-023 QBC-023 -0.0572126
QBC-255 QBC-255 0.288748
QPRC-102 QPRC-102 0.000152842
QPRC-003 QPRC-003 -0.0242332
QPRC-006 QPRC-006 -0.0186621
QPRC-041 QPRC-041 -0.0730005
QBC-203 QBC-203 -0.0501053
QBC-223 QBC-223 -0.037858
