"PC","Variance"
1,28.0330274690204
2,13.5276804210382
3,9.35533423335037
4,7.802124671404
5,7.62119621731657
6,7.24361349764358
7,6.67998735405331
8,6.60309956288774
9,6.5855780704919
10,6.54835850279392
