"Model","Accuracy","Sensitivity","Specificity","Balanced_Accuracy","AUC"
"Logistic Regression",0.53125,0.55,0.5,0.525,0.525
"Random Forest",0.96875,1,0.916666666666667,0.958333333333333,1
